name,address,city_state_zip,price_range,phone,bedrooms,image_url
The Colonel,"1250 9th Street, NW","1250 9th Street, NW",$1950 - $3975,(202) 998-6571,1 - 2,https://borgerresidential.com/wp-content/uploads/2023/11/1250-9th-St-NW-Washington-DC-print-003-DSC-4841-2-3-6-4200x2802-300dpi-scaled-e1703869612842-300x136.jpg
The Corcoran,"1350 Corcoran Street, NW","1350 Corcoran Street, NW",Call for Information,(571) 496-8753,1 - 2,https://borgerresidential.com/wp-content/uploads/2024/01/5008.jpg
Legacy Apartments,"1255 22nd Street, NW","1255 22nd Street, NW",Call for Information,(771) 999-7044,1 - 4,https://borgerresidential.com/wp-content/uploads/2023/12/002_1255_22ND_ST_NW-_LEGACY_WEST_END_298465_547040-300x200.jpg
MODO Apartments,"3709 New Hampshire Avenue, NW","3709 New Hampshire Avenue, NW",$3450 - $3900,(202) 929-6374,1 - 3,https://borgerresidential.com/wp-content/uploads/2023/11/modo-601-PH-08-scaled-1-300x200.webp
Madrona Apartments,"2213-17 14th Street, NW","2213-17 14th Street, NW",$3599,(571) 701-2112,1 - 2,https://borgerresidential.com/wp-content/uploads/2023/12/5030.jpg
Winston House,"2140 L Street, NW","2140 L Street, NW",$2450 - $3950,(202) 946-8209,1 - 2,https://borgerresidential.com/wp-content/uploads/2023/12/5028.jpg
2715 M Street,"2715 M Street, NW","2715 M Street, NW",Call for Information,(202) 465-2346,1 - 2,https://borgerresidential.com/wp-content/uploads/2023/12/5022.jpg
"501 H Street, NE","501 H Street, NE","501 H Street, NE",Call for Information,(202) 933-3552,1 - 2,https://borgerresidential.com/wp-content/uploads/2023/12/5020.jpg
Historic Row Apartments,"515 9th Street, NW","515 9th Street, NW",Call for Information,(202) 465-2346,1 - 2,https://borgerresidential.com/wp-content/uploads/2023/12/5018.jpg
Tenley View Apartments,"4600 Wisconsin Avenue, NW","4600 Wisconsin Avenue, NW",$2250,(202) 963-7611,1 - 2,https://borgerresidential.com/wp-content/uploads/2023/12/5016.jpg
